Opened: /home/ubuntu/pz/VectorDB/data/VectorDB/pq_rp_highdim_a0_0724/pq_training/shared_sample.bin, size: 384000008, cache_size: 67108864
For computing pivots, loaded sample data of size 100000
Processing chunk 0 with dimensions [0, 18)
Processing chunk 1 with dimensions [18, 36)
Processing chunk 2 with dimensions [36, 54)
Processing chunk 3 with dimensions [54, 72)
Processing chunk 4 with dimensions [72, 90)
Processing chunk 5 with dimensions [90, 108)
Processing chunk 6 with dimensions [108, 126)
Processing chunk 7 with dimensions [126, 144)
Processing chunk 8 with dimensions [144, 161)
Processing chunk 9 with dimensions [161, 178)
Processing chunk 10 with dimensions [178, 195)
Processing chunk 11 with dimensions [195, 212)
Processing chunk 12 with dimensions [212, 229)
Processing chunk 13 with dimensions [229, 246)
Processing chunk 14 with dimensions [246, 263)
Processing chunk 15 with dimensions [263, 280)
Processing chunk 16 with dimensions [280, 297)
Processing chunk 17 with dimensions [297, 314)
Processing chunk 18 with dimensions [314, 331)
Processing chunk 19 with dimensions [331, 348)
Processing chunk 20 with dimensions [348, 365)
Processing chunk 21 with dimensions [365, 382)
Processing chunk 22 with dimensions [382, 399)
Processing chunk 23 with dimensions [399, 416)
Processing chunk 24 with dimensions [416, 433)
Processing chunk 25 with dimensions [433, 450)
Processing chunk 26 with dimensions [450, 467)
Processing chunk 27 with dimensions [467, 484)
Processing chunk 28 with dimensions [484, 501)
Processing chunk 29 with dimensions [501, 518)
Processing chunk 30 with dimensions [518, 535)
Processing chunk 31 with dimensions [535, 552)
Processing chunk 32 with dimensions [552, 569)
Processing chunk 33 with dimensions [569, 586)
Processing chunk 34 with dimensions [586, 603)
Processing chunk 35 with dimensions [603, 620)
Processing chunk 36 with dimensions [620, 637)
Processing chunk 37 with dimensions [637, 654)
Processing chunk 38 with dimensions [654, 671)
Processing chunk 39 with dimensions [671, 688)
Processing chunk 40 with dimensions [688, 705)
Processing chunk 41 with dimensions [705, 722)
Processing chunk 42 with dimensions [722, 739)
Processing chunk 43 with dimensions [739, 756)
Processing chunk 44 with dimensions [756, 773)
Processing chunk 45 with dimensions [773, 790)
Processing chunk 46 with dimensions [790, 807)
Processing chunk 47 with dimensions [807, 824)
Processing chunk 48 with dimensions [824, 841)
Processing chunk 49 with dimensions [841, 858)
Processing chunk 50 with dimensions [858, 875)
Processing chunk 51 with dimensions [875, 892)
Processing chunk 52 with dimensions [892, 909)
Processing chunk 53 with dimensions [909, 926)
Processing chunk 54 with dimensions [926, 943)
Processing chunk 55 with dimensions [943, 960)
Processing chunk 0 with dimensions [0, 18)
Processing chunk 1 with dimensions [18, 36)
Processing chunk 2 with dimensions [36, 54)
Processing chunk 3 with dimensions [54, 72)
Processing chunk 4 with dimensions [72, 90)
Processing chunk 5 with dimensions [90, 108)
Processing chunk 6 with dimensions [108, 126)
Processing chunk 7 with dimensions [126, 144)
Processing chunk 8 with dimensions [144, 161)
Processing chunk 9 with dimensions [161, 178)
Processing chunk 10 with dimensions [178, 195)
Processing chunk 11 with dimensions [195, 212)
Processing chunk 12 with dimensions [212, 229)
Processing chunk 13 with dimensions [229, 246)
Processing chunk 14 with dimensions [246, 263)
Processing chunk 15 with dimensions [263, 280)
Processing chunk 16 with dimensions [280, 297)
Processing chunk 17 with dimensions [297, 314)
Processing chunk 18 with dimensions [314, 331)
Processing chunk 19 with dimensions [331, 348)
Processing chunk 20 with dimensions [348, 365)
Processing chunk 21 with dimensions [365, 382)
Processing chunk 22 with dimensions [382, 399)
Processing chunk 23 with dimensions [399, 416)
Processing chunk 24 with dimensions [416, 433)
Processing chunk 25 with dimensions [433, 450)
Processing chunk 26 with dimensions [450, 467)
Processing chunk 27 with dimensions [467, 484)
Processing chunk 28 with dimensions [484, 501)
Processing chunk 29 with dimensions [501, 518)
Processing chunk 30 with dimensions [518, 535)
Processing chunk 31 with dimensions [535, 552)
Processing chunk 32 with dimensions [552, 569)
Processing chunk 33 with dimensions [569, 586)
Processing chunk 34 with dimensions [586, 603)
Processing chunk 35 with dimensions [603, 620)
Processing chunk 36 with dimensions [620, 637)
Processing chunk 37 with dimensions [637, 654)
Processing chunk 38 with dimensions [654, 671)
Processing chunk 39 with dimensions [671, 688)
Processing chunk 40 with dimensions [688, 705)
Processing chunk 41 with dimensions [705, 722)
Processing chunk 42 with dimensions [722, 739)
Processing chunk 43 with dimensions [739, 756)
Processing chunk 44 with dimensions [756, 773)
Processing chunk 45 with dimensions [773, 790)
Processing chunk 46 with dimensions [790, 807)
Processing chunk 47 with dimensions [807, 824)
Processing chunk 48 with dimensions [824, 841)
Processing chunk 49 with dimensions [841, 858)
Processing chunk 50 with dimensions [858, 875)
Processing chunk 51 with dimensions [875, 892)
Processing chunk 52 with dimensions [892, 909)
Processing chunk 53 with dimensions [909, 926)
Processing chunk 54 with dimensions [926, 943)
Processing chunk 55 with dimensions [943, 960)
Processing chunk 0 with dimensions [0, 18)
Processing chunk 1 with dimensions [18, 36)
Processing chunk 2 with dimensions [36, 54)
Processing chunk 3 with dimensions [54, 72)
Processing chunk 4 with dimensions [72, 90)
Processing chunk 5 with dimensions [90, 108)
Processing chunk 6 with dimensions [108, 126)
Processing chunk 7 with dimensions [126, 144)
Processing chunk 8 with dimensions [144, 161)
Processing chunk 9 with dimensions [161, 178)
Processing chunk 10 with dimensions [178, 195)
Processing chunk 11 with dimensions [195, 212)
Processing chunk 12 with dimensions [212, 229)
Processing chunk 13 with dimensions [229, 246)
Processing chunk 14 with dimensions [246, 263)
Processing chunk 15 with dimensions [263, 280)
Processing chunk 16 with dimensions [280, 297)
Processing chunk 17 with dimensions [297, 314)
Processing chunk 18 with dimensions [314, 331)
Processing chunk 19 with dimensions [331, 348)
Processing chunk 20 with dimensions [348, 365)
Processing chunk 21 with dimensions [365, 382)
Processing chunk 22 with dimensions [382, 399)
Processing chunk 23 with dimensions [399, 416)
Processing chunk 24 with dimensions [416, 433)
Processing chunk 25 with dimensions [433, 450)
Processing chunk 26 with dimensions [450, 467)
Processing chunk 27 with dimensions [467, 484)
Processing chunk 28 with dimensions [484, 501)
Processing chunk 29 with dimensions [501, 518)
Processing chunk 30 with dimensions [518, 535)
Processing chunk 31 with dimensions [535, 552)
Processing chunk 32 with dimensions [552, 569)
Processing chunk 33 with dimensions [569, 586)
Processing chunk 34 with dimensions [586, 603)
Processing chunk 35 with dimensions [603, 620)
Processing chunk 36 with dimensions [620, 637)
Processing chunk 37 with dimensions [637, 654)
Processing chunk 38 with dimensions [654, 671)
Processing chunk 39 with dimensions [671, 688)
Processing chunk 40 with dimensions [688, 705)
Processing chunk 41 with dimensions [705, 722)
Processing chunk 42 with dimensions [722, 739)
Processing chunk 43 with dimensions [739, 756)
Processing chunk 44 with dimensions [756, 773)
Processing chunk 45 with dimensions [773, 790)
Processing chunk 46 with dimensions [790, 807)
Processing chunk 47 with dimensions [807, 824)
Processing chunk 48 with dimensions [824, 841)
Processing chunk 49 with dimensions [841, 858)
Processing chunk 50 with dimensions [858, 875)
Processing chunk 51 with dimensions [875, 892)
Processing chunk 52 with dimensions [892, 909)
Processing chunk 53 with dimensions [909, 926)
Processing chunk 54 with dimensions [926, 943)
Processing chunk 55 with dimensions [943, 960)
Processing chunk 0 with dimensions [0, 18)
Processing chunk 1 with dimensions [18, 36)
Processing chunk 2 with dimensions [36, 54)
Processing chunk 3 with dimensions [54, 72)
